,Movie_Titles,genres,Cast
15,The Treasure of the Sierra Madre,"['Adventure', 'Drama', 'Western']","['Tim Holt', 'Spencer Chan', 'José Torvay', 'Guillermo Calles', 'Margarito Luna', 'Walter Huston', 'Arturo Soto Rangel', 'Barton MacLane', 'Humphrey Bogart', 'Robert Blake', 'Jacqueline Dalya', 'Alfonso Bedoya', 'Manuel Dondé', 'Bruce Bennett', 'Roberto Cañedo']"
16,Pan's Labyrinth,"['Drama', 'Mystery', 'Thriller', 'Fantasy', 'War']","['Ivana Baquero', 'Francisco Vidal', 'Ivan Massagué', 'Juanjo Cucalón', 'Álex Angulo', 'Roger Casamajor', 'Ariadna Gil', 'Lina Mira', 'Gonzalo Uriarte', 'Maribel Verdú', 'Sergi López', 'César Vea', 'Eusebio Lázaro', 'Manolo Solo', 'Doug Jones']"
17,Some Like It Hot,"['Comedy', 'Romance']","['Marilyn Monroe', 'Tony Curtis', 'Joan Shawlee', 'Barbara Drew', ""Pat O'Brien"", 'Jack Lemmon', 'George Raft', 'Billy Gray', 'Mike Mazurki', 'Harry Wilson', 'Beverly Wills', 'Dave Barry', 'George E. Stone', 'Nehemiah Persoff', 'Joe E. Brown']"
18,North by Northwest,"['Action', 'Adventure', 'Mystery', 'Thriller']","['Edward Platt', 'Philip Coolidge', 'Les Tremayne', 'Leo G. Carroll', 'Edward Binns', 'Josephine Hutchinson', 'Eva Marie Saint', 'Martin Landau', 'Adam Williams', 'James Mason', 'Robert Ellenstein', 'Jessie Royce Landis', 'Cary Grant', 'Philip Ober', 'Patrick McVey']"
19,Hoop Dreams,"['Drama', 'Sport', 'Documentary']","['Luther Bedford', ""Arthur 'Bo' Agee"", 'Sheila Agee', 'William Gates', 'Curtis Gates', 'Bill Gleason', 'Marlyn Hopewell', 'Arthur Agee', 'Emma Gates', 'Patricia Weir', 'Earl Smith', 'Isiah Thomas', 'Marjorie Heard', 'Aretha Mitchell', 'Gene Pingatore']"
20,Rashomon,"['Drama', 'Mystery', 'Crime']","['Machiko Kyô', 'Noriko Honma', 'Daisuke Katô', 'Kichijir', 'Takashi Shimura', 'Minoru Chiaki', 'Masayuki Mori', 'Toshirô Mifune', 'Leslie Daniels']"
21,All About Eve,['Drama'],"['Gregory Ratoff', 'Hugh Marlowe', 'Barbara White', 'Thelma Ritter', 'Leland Harris', 'Bette Davis', 'Walter Hampden', 'Barbara Bates', 'Gary Merrill', 'Celeste Holm', 'Craig Hill', 'Anne Baxter', 'Marilyn Monroe', 'Randy Stuart', 'George Sanders']"
22,Jules and Jim,"['Drama', 'Romance']","['Anny Nelsen', 'Michel Subor', 'Dominique Lacarrière', 'Marie Dubois', 'Pierre Fabre', 'Vanna Urbino', 'Danielle Bassiak', 'Serge Rezvani', 'Oskar Werner', 'Bernard Largemain', 'Sabine Haudepin', 'Henri Serre', 'Elen Bober', 'Jeanne Moreau', 'Kate Noelle']"
23,The Wild Bunch,"['Action', 'Adventure', 'Western']","['Strother Martin', 'Dub Taylor', 'Jorge Russek', ""Edmond O'Brien"", 'Emilio Fernández', 'Ernest Borgnine', 'Albert Dekker', 'Paul Harper', 'Ben Johnson', 'William Holden', 'Warren Oates', 'L.Q. Jones', 'Jaime Sanchez', 'Bo Hopkins', 'Robert Ryan']"
24,My Left Foot,"['Biography', 'Drama']","['Eanna MacLiam', 'Brenda Fricker', 'Ruth McCabe', 'Alison Whelan', 'Phelim Drew', 'Daniel Day-Lewis', 'Derry Power', 'Kirsten Sheridan', 'Cyril Cusack', 'Fiona Shaw', ""Hugh O'Conor"", 'Declan Croghan', 'Ray McAnally', 'Pat Laffan', 'Marie Conmee']"
25,The Third Man,"['Mystery', 'Thriller', 'Film-Noir']","['Alida Valli', 'Erich Ponto', 'Paul Hörbiger', 'Trevor Howard', 'Wilfrid Hyde-White', 'Harry Belcher', 'Harold Ayer', 'Orson Welles', 'Joseph Cotten', 'Ernst Deutsch', 'Jack Arrow', 'Siegfried Breuer', 'Nelly Arno', 'Hedwig Bleibtreu', 'Bernard Lee']"
26,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"['Thriller', 'Comedy']","['Frank Berry', 'George C. Scott', 'James Earl Jones', 'Jack Creley', 'Peter Bull', 'Shane Rimmer', 'Hal Galili', 'Roy Stephens', 'Slim Pickens', 'Tracy Reed', 'Keenan Wynn', 'Glenn Beck', ""Robert O'Neil"", 'Peter Sellers', 'Sterling Hayden']"
27,"Quo Vadis, Aida?","['Drama', 'History', 'War']","['Juda Goslinga', 'Dino Bajrovic', 'Boris Ler', 'Raymond Thiry', 'Boris Isakovic', 'Jasna Djuricic', 'Edita Malovcic', 'Alban Ukaj', 'Ermin Bravo', 'Jelena Kordic', 'Reinout Bussemaker', 'Izudin Bajrovic', 'Emir Hadzihafizbegovic', 'Teun Luijkx', 'Johan Heldenbergh']"
28,Gone with the Wind,"['Drama', 'History', 'Romance', 'War']","['Ann Rutherford', 'Thomas Mitchell', 'Vivien Leigh', 'Alicia Rhett', 'Oscar Polk', 'Everett Brown', 'Victor Jory', 'Howard C. Hickman', 'Butterfly McQueen', 'Leslie Howard', 'Fred Crane', 'George Reeves', 'Evelyn Keyes', ""Barbara O'Neil"", 'Hattie McDaniel']"
29,"4 Months, 3 Weeks and 2 Days",['Drama'],"['Cerasela Iosifescu', 'Laura Vasiliu', 'Monica Alexandrescu', 'Marioara Sterian', 'Mihaela Alexandru', 'Doru Ana', 'Cristina Burbuz', 'Luminita Gheorghiu', 'Liliana Mocanu', 'Ion Sapdaru', 'Adi Carauleanu', 'Eugenia Bosânceanu', 'Teodor Corban', 'Anamaria Marinca', 'Alexandru Potocean', 'Vlad Ivanov', 'Tania Popa', 'Constantin Bojog', 'Costica Babu']"
30,Psycho,"['Mystery', 'Thriller', 'Horror']","['Martin Balsam', 'Patricia Hitchcock', 'Frank Albertson', 'Janet Leigh', 'Vera Miles', 'John McIntire', 'John Gavin', 'Fletcher Allen', 'Mort Mills', 'Simon Oakland', 'John Anderson', 'Anthony Perkins', 'Lurene Tuttle', 'Walter Bacon', 'Vaughn Taylor']"
31,Battleship Potemkin,"['Drama', 'History', 'Thriller', 'War']","['Aleksandr Levshin', 'Grigoriy Aleksandrov', 'Ivan Bobrov', 'Beatrice Vitoldi', 'Mikhail Gomorov', 'A. Glauberman', 'Prokhorenko', 'Aleksandr Antonov', 'N. Poltavtseva', 'Vladimir Barskiy', 'Sergei M. Eisenstein', 'Daniil Antonovich', 'Iona Biy-Brodskiy', 'Julia Eisenstein', 'Konstantin Feldman']"
32,A Streetcar Named Desire,['Drama'],"['Vivien Leigh', 'Marlon Brando', 'Mickey Kuhn', 'Dahn Ben Amotz', 'Wright King', 'Peg Hillias', 'Karl Malden', 'Mel Archer', 'Rudy Bond', 'Marietta Canty', 'Nick Dennis', 'Ann Dere', 'Richard Garrick', 'Kim Hunter', 'Edna Thomas']"
33,The Maltese Falcon,"['Mystery', 'Film-Noir']","['Mary Astor', 'Jerome Cowan', 'Chester Gan', 'James Burke', 'Elisha Cook Jr.', 'Barton MacLane', 'Humphrey Bogart', 'Sydney Greenstreet', 'Peter Lorre', 'Lee Patrick', 'Murray Alper', 'Charles Drake', 'Gladys George', 'Ward Bond', 'John Hamilton']"
34,American Graffiti,"['Drama', 'Comedy']","['Candy Clark', 'Manuel Padilla Jr.', 'Harrison Ford', 'Mackenzie Phillips', 'Richard Dreyfuss', 'Ron Howard', 'Deby Celiz', 'Wolfman Jack', 'Paul Le Mat', 'Jim Bohan', 'Charles Martin Smith', 'Cindy Williams', 'Jana Bellan', 'Beau Gentry', 'Bo Hopkins']"
35,Dumbo,"['Drama', 'Animation', 'Family', 'Musical']","['Edward Brophy', 'John McLeish', 'Verna Felton', 'Harold Manley', 'Billy Bletcher', 'James MacDonald', 'Herman Bing', 'Noreen Gammill', 'Cliff Edwards', 'Hall Johnson', 'Eddie Holden', 'Sterling Holloway', 'Malcolm Hutton', 'James Baskett', 'Jim Carmichael']"
36,Roma,['Drama'],"['José Luis López Gómez', 'Latin Lover', 'Daniela Demesa', 'Zarela Lizbeth Chinolla Arellano', 'Andy Cortés', 'Verónica García', 'Marina de Tavira', 'Marco Graf', 'Jorge Antonio Guerrero', 'Diego Cortina Autrey', 'José Manuel Guerrero Mendoza', 'Fernando Grediaga', 'Nancy García García', 'Carlos Peralta', 'Yalitza Aparicio']"
37,Ran,"['Action', 'Drama', 'War']","['Akira Terao', 'Masayuki Yui', 'Toshiya Ito', 'Yoshiko Miyazaki', 'Norio Matsui', 'Hisashi Igawa', 'Mansai Nomura', 'Kazuo Katô', 'Takashi Watanabe', 'Jinpachi Nezu', 'Kenji Kodama', 'Tatsuya Nakadai', 'Daisuke Ryû', 'Mieko Harada', 'Peter']"
38,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",['Documentary'],"['Jesse Jackson', 'The 5th Dimension', 'David Ruffin', 'Abbey Lincoln', 'Gladys Knight & The Pips', 'B.B. King', 'Max Roach', 'Mavis Staples', 'Moms Mabley', 'The Chambers Brothers', 'Sal Masekela', 'Sly and the Family Stone', 'Nina Simone', 'Mahalia Jackson', 'Stevie Wonder']"
39,The Shop Around the Corner,"['Drama', 'Comedy', 'Romance']","['Charles Halton', 'Frank Morgan', 'Sarah Edwards', 'James Stewart', 'Mary Carr', 'Edwin Maxwell', 'Felix Bressart', 'Sara Haden', 'Charles Arnt', 'Margaret Sullavan', 'William Tracy', 'Joan Blair', 'Joseph Schildkraut', 'Charles Smith', 'Inez Courtney']"
40,12 Angry Men,"['Drama', 'Crime']","['Martin Balsam', 'Robert Webber', 'E.G. Marshall', 'Tom Gorman', 'Jack Warden', 'Edward Binns', 'Ed Begley', 'James Kelly', 'Rudy Bond', 'George Voskovec', 'Henry Fonda', 'Lee J. Cobb', 'John Fiedler', 'Jack Klugman', 'Joseph Sweeney']"
41,Rosemary's Baby,"['Drama', 'Horror']","['Mia Farrow', 'Sidney Blackmer', 'John Cassavetes', 'Elisha Cook Jr.', ""D'Urville Martin"", 'Phil Leeds', 'Charles Grodin', 'Ralph Bellamy', 'Victoria Vetri', 'Hope Summers', 'Hanna Hertelendy', 'Patsy Kelly', 'Maurice Evans', 'Emmaline Henry', 'Ruth Gordon']"
42,12 Years a Slave,"['Biography', 'Drama', 'History']","['Dwight Henry', 'Taran Killam', 'Quvenzhané Wallis', 'Christopher Berry', 'Tom Proctor', 'Tony Bentley', 'Adepero Oduye', 'Craig Tate', 'Brad Pitt', 'Paul Dano', 'Scoot McNairy', 'Marcus Lyle Brown', 'Sarah Paulson', ""Lupita Nyong'o"", 'Ruth Negga', 'Mister Mackey Jr.', 'Michael Fassbender', 'Chiwetel Ejiofor', 'Paul Giamatti', 'Garret Dillahunt', 'Benedict Cumberbatch', 'Michael K. Williams', 'Bryan Batt', 'Cameron Zeigler', 'Alfre Woodard', 'Bill Camp', 'Dickie Gravois', 'Chris Chalk', 'Ashley Dyke', 'Kelsey Scott']"
43,Manchester by the Sea,['Drama'],"['Virginia Loring Cooke', 'Danae Nason', 'Lewis D. Wheeler', 'Erica McDermott', 'Chaunty Spillane', 'Brian Chamberlain', 'Richard Donelly', 'Liam McNeill', 'Lucas Hedges', 'Mark Burzenski', 'Susan Pourfar', 'Mary Mallen', 'Michelle Williams', 'Robert Sella', 'Stephanie Ann Saunders', 'Ruibo Qian', 'Casey Affleck', 'Gretchen Mol', ""Ben O'Brien"", 'Missy Yager', 'Tate Donovan', 'Anna Baryshnikov', 'Heather Burns', 'Kyle Chandler', 'Oscar Wahlberg', 'Tom Kemp', 'Ben Hanson', 'Stephen Henderson', 'C.J. Wilson', 'Matthew Broderick', 'Josh Hamilton', 'Quincy Tyler Bernstine', 'Anthony Estrella', 'Kara Hayward', 'Amanda Blattner', 'Jeffrey Corazzini']"
44,Killer of Sheep,['Drama'],"['Jack Drummond', 'Henry G. Sanders', 'Dorothy Stengel', 'Charles Bracy', 'Kaycee Moore', 'Slim', 'Delores Farley', 'Tobar Mayo', 'Chris Terrill', 'Johnny Smoke', 'Eugene Cherry', 'Homer Jai', 'Lawrence Pierott', 'Russell Miles', 'Angela Burnett']"
