,Movie_Titles,genres,Cast
65,Woodstock,"['History', 'Music', 'Documentary']","['Joe Cocker', 'Arlo Guthrie', 'Canned Heat', 'Richie Havens', 'John Sebastian', 'Sha-Na-Na', 'Bob Davis', 'Country Joe and the Fish', 'The Who', 'Santana', 'Ten Years After', 'Joan Baez', 'Jimi Hendrix', 'Crosby Stills & Nash', 'Sly and the Family Stone']"
66,Double Indemnity,"['Drama', 'Mystery', 'Thriller', 'Crime', 'Film-Noir']","['Edward G. Robinson', 'Kernan Cripps', 'Raymond Chandler', 'Byron Barr', 'Richard Gaines', 'Tom Powers', 'John Philliber', 'James Adamson', 'Jean Heather', 'Porter Hall', 'Barbara Stanwyck', 'John Berry', 'Fortunio Bonanova', 'Fred MacMurray', 'Edmund Cobb']"
67,Snow White and the Seven Dwarfs,"['Fantasy', 'Romance', 'Animation', 'Family', 'Musical']","['Marion Darlington', 'Pinto Colvig', 'Lucille La Verne', 'Billy Gilbert', 'Stuart Buchanan', 'Eddie Collins', 'James MacDonald', 'Moroni Olsen', 'Scotty Mattraw', 'Otis Harlan', 'Adriana Caselotti', 'Harry Stockwell', 'Roy Atwell', 'Purv Pullen']"
68,The Hurt Locker,"['Action', 'Drama', 'Thriller', 'War']","['Suhail Aldabbach', 'David Morse', 'Anthony Mackie', 'Ralph Fiennes', 'Brian Geraghty', 'Evangeline Lilly', 'Sam Redford', 'Christian Camargo', 'Nabil Koni', 'Christopher Sayegh', 'Jeremy Renner', 'Guy Pearce', 'Sam Spruell', 'Feisal Sadoun', 'Barrie Rice']"
69,Anatomy of a Murder,"['Drama', 'Mystery', 'Thriller', 'Crime']","['Brooks West', 'Orson Bean', 'Howard McNear', 'George C. Scott', 'Lee Remick', 'Murray Hamilton', 'Russ Brown', 'Alexander Campbell', 'John Qualen', ""Arthur O'Connell"", 'Eve Arden', 'Kathryn Grant', 'Ken Lynch', 'James Stewart', 'Ben Gazzara']"
70,Zero Dark Thirty,"['Action', 'Drama', 'History', 'Thriller']","['Jennifer Ehle', 'Aymen Hamdouchi', 'Scott Adkins', 'Wahab Sheikh', 'Jeremy Strong', 'J.J. Kandel', 'Édgar Ramírez', 'Callan Mulvey', 'Harold Perrineau', 'James Gandolfini', 'Nabil Elouahabi', 'Frank Grillo', 'Mark Valley', 'Mike Colter', 'Nina Arianda', 'Joel Edgerton', 'Alexander Karim', 'Jason Clarke', 'Simon Abkarian', 'Kyle Chandler', 'Fares Fares', 'Taylor Kinney', 'Chris Pratt', 'Parker Sawyers', 'Reda Kateb', 'Ali Marhyar', 'Jessica Chastain', 'Jessica Collins', 'Mark Duplass', 'Lee Asquith-Coe', 'Senem Temiz', 'Stephen Dillane', 'Mark Strong']"
71,Collective,['Documentary'],"['Tedy Ursuleanu', 'Mirela Neag', 'Catalin Tolontan', 'Razvan Lutac', 'Vlad Voiculescu']"
72,A Separation,['Drama'],"['Hamid Dadju', 'Mohammad Ebrahimian', 'Leila Hatami', 'Sarina Farhadi', 'Shahab Hosseini', ""Marila Zare'i"", 'Mohammadhasan Asghari', 'Shirin Yazdanbakhsh', 'Sareh Bayat', 'Peyman Moaadi', 'Shirin Azimiyannezhad', 'Kimia Hosseini', 'Babak Karimi', 'Ali-Asghar Shahbazi', 'Sahabanu Zolghadr']"
73,WALL-E,"['Adventure', 'Sci-Fi', 'Romance', 'Animation', 'Family']","['Paul Eiding', 'Lori Alan', 'Elissa Knight', 'Kathy Najimy', 'Jeff Garlin', 'Pete Docter', 'Teresa Ganzel', 'MacInTalk', 'John Ratzenberger', 'Ben Burtt', 'Donald Fullilove', 'John Cygan', 'Bob Bergen', 'Teddy Newton', 'Sigourney Weaver', 'Fred Willard']"
74,Carol,"['Drama', 'Romance']","['Rileigh McDonald', 'Zander Kaufer', 'Colin Botts', 'Douglas Scott Sorenson', 'Anita Farmer Bergman', 'Blanca Camacho', 'Michael Haney', 'Cate Blanchett', 'Ryan Wesley Gilreath', 'Ken Strunk', 'Sadie Heim', 'Cory Michael Smith', 'Chandish Nester', 'Carrie Brownstein', 'John Magaro', 'Nathaniel Grauwelman', 'Kevin Crowley', 'Lizzy Leigh', 'Sarah Paulson', 'William Willet', 'Linnea Bond', 'Kyle Chandler', 'Philip Krinsky', 'Robert Gerding', 'Matthew Kallmeyer', 'Dennis Hensley', 'Giedre Bond', 'Michael Loos', 'Trent Rowland', 'Rooney Mara', 'Jim Owens', 'Jorge Mardel', 'Kk Heim', 'Jake Lacy', 'Bella Garcia', 'Nik Pajic', 'Steven Andrews', 'Jim Dougherty', 'Amy Warner', 'Misty M. Jump', 'Liberty Fraysure', 'Jayne Houdyshell']"
75,Before Midnight,"['Drama', 'Romance']","['Ariane Labed', 'Charlotte Prior', 'Enrico Focardi', 'Manolis Goussias', 'Seamus Davey-Fitzpatrick', 'Julie Delpy', 'Yiannis Papadopoulos', 'Ethan Hawke', 'Anouk Servera', 'Jennifer Prior', 'Serafeim Radis', 'Athina Rachel Tsangari', 'Walter Lassally', 'Yannis Papadopoulos', 'Panos Koronis', 'Yota Argyropoulou', 'Xenia Kalogeropoulou']"
76,Amour,"['Drama', 'Romance']","['Jean-Louis Trintignant', 'Alexandre Tharaud', 'Ramón Agirre', 'Carole Franck', 'Jean-Michel Monroc', 'William Shimell', 'Suzanne Schmidt', 'Isabelle Huppert', 'Dinara Drukarova', 'Damien Jouillerot', 'Emmanuelle Riva', 'Walid Afkir', 'Rita Blanco', 'Laurent Capelluto']"
77,Dunkirk,"['Action', 'Drama', 'History', 'Thriller', 'War']","['Jack Lowden', 'Barry Keoghan', 'Kenneth Branagh', 'Lee Armstrong', 'Damien Bonnard', 'Harry Styles', 'Cillian Murphy', 'Michael Fox', 'Mark Rylance', 'Bobby Lockwood', 'Billy Howle', 'Adam Long', 'Paul Riley Fox', 'Jochum ten Haaf', 'Miranda Nolan', 'Richard Sanderson', 'Brian Vernel', 'Charley Palmer Merkell', 'Fionn Whitehead', 'Michel Biel', 'Elliott Tittensor', 'Tom Glynn-Carney', 'Bradley Hall', 'Luke Thompson', 'Mikey Collins', 'Jack Gover', 'Will Attenborough', 'Kevin Guthrie', 'Constantin Balsan', 'Aneurin Barnard', ""James D'Arcy"", 'Tom Hardy', 'James Bloor']"
78,The Man Who Shot Liberty Valance,"['Drama', 'Western']","['Andy Devine', 'Strother Martin', 'Carleton Young', 'Woody Strode', ""Edmond O'Brien"", 'John Wayne', 'Vera Miles', 'John Qualen', 'Denver Pyle', 'Lee Marvin', 'John Carradine', 'James Stewart', 'Ken Murray', 'Jeanette Nolan', 'Willis Bouchey']"
79,The Searchers,"['Adventure', 'Drama', 'Western']","['Beulah Archuletta', 'Olive Carey', 'Dorothy Jordan', 'Ken Curtis', 'John Wayne', 'Vera Miles', 'Henry Brandon', 'Hank Worden', 'Natalie Wood', 'John Qualen', 'Walter Coy', 'Ward Bond', 'Harry Carey Jr.', 'Jeffrey Hunter', 'Antonio Moreno']"
80,45 Years,"['Drama', 'Romance']","['Charlotte Rampling', 'Richard Cunningham', 'Charles Booth', 'Camille Ucan', 'Michelle Finch', 'Rachel Banham', 'Sam Alexander', 'Paul Goldsmith', 'Rufus Wright', 'Dolly Wells', 'Kevin Matadeen', 'Max Rudd', 'Martin Atkinson', 'Lucy Temple', 'Geraldine James', 'Tom Courtenay', 'David Sibley', 'Hannah Chalmers', 'Peter Dean Jackson']"
81,Taxi Driver,"['Drama', 'Thriller', 'Crime']","['Copper Cunningham', 'Albert Brooks', 'Brenda Dickson', 'Diahnne Abbott', 'Victor Argo', 'Robert De Niro', 'Garth Avery', 'Harvey Keitel', 'Nat Grant', 'Jodie Foster', 'Harry Cohn', 'Frank Adu', 'Leonard Harris', 'Cybill Shepherd', 'Peter Boyle', 'Gino Ardito', 'Harry Fischler']"
82,The Servant,['Drama'],"['Hazel Terry', 'Alun Owen', 'Doris Knox', 'Richard Vernon', 'Wendy Craig', 'Brian Phelan', 'Derek Tansley', 'Ann Firbank', 'James Fox', 'Sarah Miles', 'Harold Pinter', 'Patrick Magee', 'Catherine Lacey', 'Dirk Bogarde', 'Jill Melford']"
83,Pulp Fiction,"['Drama', 'Thriller', 'Crime']","['Uma Thurman', 'Duane Whitaker', 'Ving Rhames', 'Samuel L. Jackson', 'John Travolta', 'Maria de Medeiros', 'Paul Calderon', 'Peter Greene', 'Rosanna Arquette', 'Phil LaMarr', 'Frank Whaley', 'Tim Roth', 'Amanda Plummer', 'Bruce Willis', 'Eric Stoltz']"
84,The Manchurian Candidate,"['Drama', 'Mystery', 'Thriller']","['Barry Kelley', 'Henry Silva', 'Leslie Parrish', 'Janet Leigh', 'James Gregory', 'Madame Spivy', 'John McGiver', 'James Edwards', 'Douglas Henderson', 'Khigh Dhiegh', 'Laurence Harvey', 'Lloyd Corrigan', 'Albert Paulsen', 'Angela Lansbury', 'Frank Sinatra']"
85,Mr. Turner,"['Biography', 'Drama', 'History']","['Oliver Maltman', 'Peter Wight', 'Mark Stanley', 'Fenella Woolgar', 'Richard Dixon', 'Marion Bailey', 'Sylvestra Le Touzel', 'Amy Dawson', 'Julian Seager', 'Dorothy Atkinson', 'Sandy Foster', 'Fred Pearson', 'Stuart Matthews', 'James Norton', 'Timothy Spall', 'Ruby Bentall', 'Jamie Thomas King', 'Joshua McGuire', 'Richard Bremmer', 'Tom Edden', 'James Fleet', 'Tom Wlaschiha', 'Leo Bill', 'Ruth Sheen', 'Sinead Matthews', 'Katherine Denkinson', 'Martin Savage', 'Alice Orr-Ewing', 'John Duggan', 'Niall Buggy', 'Billy Holland', 'Paul Jesson', 'Roger Ashton-Griffiths', 'Karl Johnson', 'Lee Ingleby', 'Lesley Manville', 'Robert Portal', 'Lasco Atkins', 'John Warman', 'Mark Wingett']"
86,The Irishman,"['Biography', 'Drama', 'History', 'Thriller', 'Crime']","['Dascha Polanco', 'Joe Pesci', 'Aleksa Palladino', 'Aly Mang', 'Domenick Lombardozzi', 'Anna Paquin', 'Robert De Niro', 'Joseph Russo', 'Bobby Cannavale', 'Al Pacino', 'Sebastian Maniscalco', 'Stephen Graham', 'Kathrine Narducci', 'Gary Basaraba', 'Paul Herman', 'Sharon Pfeiffer', 'Jake Hoffman', 'Harvey Keitel', 'Ray Romano', 'Paul Ben-Victor', 'India Ennenga', 'Steve Van Zandt', 'Jack Huston', 'Stephanie Kurtzuba', 'Jesse Plemons']"
87,Amazing Grace,['Documentary'],"['C.L. Franklin', 'Mick Jagger', 'Bernard Pretty Purdie', 'Alexander Hamilton', 'Clara Ward', 'Bernard Purdie', 'Charlie Watts', 'Reverand James Cleveland', 'Sydney Pollack', 'Chuck Rainey', 'Aretha Franklin']"
88,Grave of the Fireflies (1988),"['Drama', 'War', 'Animation']","['Tadashi Nakamura', 'Tsutomu Tatsumi', 'Yoshiko Shinohara', 'Marcy Bannor', 'Dan Green', 'Shannon Conley', 'Adam Gibbs', 'Akemi Yamaguchi', 'Ayano Shiraishi', 'Crispin Freeman', 'Shelley Calene-Black', 'Luci Christian', 'Amy Jones', 'Susan O. Koozin', 'Justin Doran']"
89,The Wild Child,['Drama'],"['Mathieu Schiffman', 'Jean Dasté', 'Gitt Magrini', 'Claude Miller', 'Françoise Seigner', 'Jean Gruault', 'Annie Miller', 'Laura Truffaut', 'Jean-Pierre Cargol', 'Paul Villé', 'François Truffaut', 'Eva Truffaut', 'Nathan Miller', 'Jean-François Stévenin', 'Robert Cambourakis']"
90,Petite Maman,['Drama'],"['Josée Schuller', 'Margot Abascal', 'Florès Cardo', 'Guylène Péan', 'Nina Meurisse', 'Joséphine Sanz', 'Stéphane Varupenne', 'Gabrielle Sanz']"
91,Shadow of a Doubt,['Thriller'],"['Bill Bates', 'Clarence Muse', 'Hume Cronyn', 'Virginia Brissac', 'Macdonald Carey', 'Wallace Ford', 'Joseph Cotten', 'Teresa Wright', 'Patricia Collinge', 'Charles Bates', 'Janet Shaw', 'Estelle Jewell', 'Henry Travers', 'Edna May Wonacott', 'Irving Bacon']"
92,Inside Out,"['Adventure', 'Drama', 'Fantasy', 'Comedy', 'Animation', 'Family']","['Phyllis Smith', 'Jess Harnell', 'Amy Poehler', 'Flea', 'Teresa Ganzel', 'Paula Poundstone', 'John Cygan', 'Laraine Newman', 'Carlos Alazraqui', 'Josh Cooley', 'Bill Hader', 'Kyle MacLachlan', 'Dave Goelz', 'John Ratzenberger', 'Richard Kind', 'Bob Bergen', 'Paula Pell', 'Danny Mann', 'Kaitlyn Dias', 'Rashida Jones', 'Frank Oz', 'Sherry Lynn', 'Lori Alan', 'Bobby Moynihan', 'Mindy Kaling', 'Diane Lane', 'Paris Van Dyke', 'Lewis Black']"
93,Sideways,"['Drama', 'Comedy', 'Romance']","['Robert Covarrubias', 'Thomas Haden Church', 'Joe Marinelli', 'Shaun Duke', 'Virginia Madsen', 'Paul Giamatti', 'Jessica Hecht', 'Missy Doty', 'Shake Tukhmanyan', 'Alysia Reiner', 'Sandra Oh', 'Patrick Gallagher', 'M.C. Gainey', 'Stephanie Faracy', 'Marylouise Burke']"
94,Schindler's List,"['Biography', 'Drama', 'History', 'War']","['Friedrich von Thun', 'Krzysztof Luft', 'Shmuel Levy', 'Béatrice Macola', 'Liam Neeson', 'Ralph Fiennes', 'Norbert Weisser', 'Embeth Davidtz', 'Malgoscha Gebel', 'Caroline Goodall', 'Mark Ivanir', 'Jonathan Sagall', 'Harry Nehring', 'Ben Kingsley', 'Andrzej Seweryn']"
95,Meet Me in St. Louis,"['Drama', 'Comedy', 'Romance', 'Music', 'Family']","['Mary Astor', 'Leon Ames', 'Marjorie Main', 'Lucille Bremer', 'Harry Davenport', 'June Lockhart', 'Sidney Barnes', ""Margaret O'Brien"", 'Robert Sully', 'Judy Garland', 'Henry H. Daniels Jr.', 'Tom Drake', 'Chill Wills', 'Joan Carroll', 'Hugh Marlowe']"
96,The Apartment,"['Drama', 'Comedy', 'Romance']","['Joan Shawlee', 'Jack Kruschen', 'David White', 'Willard Waterman', 'Ray Walston', 'Dorothy Abbott', 'Johnny Seven', 'Jack Lemmon', 'Naomi Stevens', 'Shirley MacLaine', 'Hope Holiday', 'Fred MacMurray', 'Joyce Jameson', 'David Lewis', 'Edie Adams']"
97,Apocalypse Now,"['Action', 'Drama', 'War']","['Dennis Hopper', 'Harrison Ford', 'Jerry Ziesmer', 'Robert Duvall', 'Marlon Brando', 'Frederic Forrest', 'James Keane', 'Albert Hall', 'Martin Sheen', 'G.D. Spradlin', 'Bo Byers', 'Kerry Rossall', 'Scott Glenn', 'Sam Bottoms', 'Laurence Fishburne']"
98,The Gunfighter,['Western'],"['Beulah Archuletta', 'Verna Felton', 'Anthony Ross', 'Millard Mitchell', 'Victor Adamson', 'Richard Jaeckel', 'Helen Westcott', 'Karl Malden', 'Ellen Corby', 'Skip Homeier', 'Murray Alper', 'Gregory Peck', 'C.E. Anderson', 'Carl Andre', 'Jean Parker']"
99,We Were Here,['Documentary'],"['Guy Clark', 'Daniel Goldstein', 'Paul Boneberg', 'Eileen Glutzer', 'Bobbi Campbell', 'Cleve Jones', 'Ed Wolf']"
100,Faces Places,['Documentary'],"['Claude Ferchal', 'Pony-Soleil-Air-Sauvage-Nature', 'Patricia Mercier', 'Jean-Luc Godard', 'Nathalie Maurouard', 'Amaury Bossy', 'J.R.', 'Claude Flaert', 'Laurent Levesque', 'Morgane Riou', 'Vincent Gils', 'Jeannine Carpentier', 'JR', 'Jean-Paul Beaujon', 'Marie Douvet', 'Clemens Van Dungern', 'Yves Boulen', 'Agnès Varda', 'Nathalie Schleehauf']"
101,Chimes at Midnight,"['Drama', 'History', 'Comedy', 'War']","['Keith Baxter', 'John Gielgud', 'Michael Aldridge', 'Alan Webb', 'Fernando Rey', 'Jeanne Moreau', 'Marina Vlady', 'Orson Welles', 'Walter Chiari', 'Julio Peña', 'Keith Pyott', 'Tony Beckley', 'Jeremy Rowe', 'Andrés Mejuto', 'Margaret Rutherford']"
102,The Lord of the Rings: The Return of the King,"['Action', 'Adventure', 'Fantasy']","['Ian McKellen', 'Cate Blanchett', 'Andy Serkis', 'Marton Csokas', 'David Aston', 'John Bach', 'Billy Boyd', 'Noel Appleby', 'Orlando Bloom', 'Sean Astin', 'Alexandra Astin', 'Richard Edge', 'Alistair Browning', 'Sean Bean', 'Jason Fitch', 'Bernard Hill', 'Sadwyn Brophy']"
103,Carlos,"['Biography', 'Drama', 'History', 'Thriller', 'Crime']","['Rodney El Haddad', 'Karam Ghossein', 'Alejandro Arroyo', 'Fadi Yanni Turk', 'Talal El-Jordi', 'Édgar Ramírez', 'Fadi Abi Samra', 'Ahmad Kaabour', 'Juana Acosta', 'Rami Farah', 'Christoph Bach', 'Nora von Waldstätten', 'Julia Hummer', 'Antoine Balabane', 'Liane Sellerer', 'Alexander Scheer', 'Aljoscha Stadelmann', 'Zeid Hamdan', 'Lamia Ahmed', 'Philippe Tran']"
104,Marriage Story,"['Drama', 'Comedy', 'Romance']","['Ray Liotta', 'Albert Jones', 'Martha Kelly', 'Laura Dern', 'Motell Gyn Foster', 'Gideon Glick', 'Scarlett Johansson', 'Mickey Sumner', 'Azhy Robertson', 'Brooke Bloom', 'Annie Hamilton', 'Mary Hollis Inboden', 'Merritt Wever', 'Matthew Maher', 'Eric Berryman', 'Kyle Bornheimer', 'Pete Simpson', 'David Turner', 'Robert Smigel', 'Adam Driver', 'Raymond J. Lee', 'Julia Greer', 'Wallace Shawn', ""Mark O'Brien"", 'Ayden Mayeri', 'Jasmine Cephas Jones', 'Alan Alda', 'Julie Hagerty', 'Mary Wiseman']"
105,The French Connection,"['Action', 'Drama', 'Thriller', 'Crime']","['Frédéric de Pasquale', 'André Ernotte', 'Fernando Rey', 'Harold Gary', 'Tony Lo Bianco', 'Eddie Egan', 'Marcel Bozzuffi', 'Benny Marino', 'Ann Rebbot', 'Bill Hickman', 'Roy Scheider', 'Sonny Grosso', 'Gene Hackman', 'Patrick McDermott', 'Arlene Farber']"
106,La La Land,"['Drama', 'Comedy', 'Romance', 'Musical']","['Kc Monnie', 'Morgan Larson', 'Finn Wittrock', 'Ryan Gosling', 'Andres Perez-Molina', 'Zoë Hall', 'Cameron Brinkman', 'Shannon Klein', 'Candice Coke', 'Hemky Madera', 'Phillip E. Walker', 'Claudine Claudio', 'Sandra Rosko', 'Miles Anderson', 'Jason Fuchs', 'Tom Everett Scott', 'Terry Walters', 'Thom Shelton', 'Josh Pence', 'Rosemarie DeWitt', 'Cinda Adams', 'Amiée Conn', 'Amanda Fields', 'Nilla Watkins', 'Callie Hernandez', 'Emma Stone', 'J.K. Simmons', 'John Legend', 'Ashley Caple', 'Trevor Lissauer', 'Kaye L. Morris', 'Meagen Fay', 'Shannon Leann', 'Jessica Rothe', 'Ana Flavia Gavlak', 'Kiff VandenHeuvel', 'Margaret Newborn', 'Sonoya Mizuno', 'Jordan Ray Fox', 'Christopher Aber', 'Kristin Slaysman', 'D.A. Wallach']"
107,"Crouching Tiger, Hidden Dragon","['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']","['Michelle Yeoh', 'Xian Gao', 'Yan Hai', 'Pei-pei Cheng', 'De Ming Wang', 'Chen Chang', 'Sihung Lung', 'Yun-Fat Chow', 'Fa Zeng Li', 'Li Li', 'Rei Yang', 'Su Ying Huang', 'Jin Ting Zhang', 'Ziyi Zhang', 'Kai Li']"
108,Nomadland,['Drama'],"['Linda May', 'Karie Lynn McDermott Wilder', 'Brandy Wilber', 'Angela Reyes', 'Douglas G. Soul', 'Swankie', 'Teresa Buchanan', 'Rachel Bannon', 'Annette Webb', 'Gay DeForest', 'Bob Wells', 'Frances McDormand', 'Patricia Grier', 'Ryan Aquino', 'Carl R. Hughes', 'Makenzie Etcheverry', 'David Strathairn', 'Annette Wells']"
109,Call Me by Your Name,"['Drama', 'Romance']","['Timothée Chalamet', 'Marco Sgrosso', 'Victoire Du Bois', 'Armie Hammer', 'Michael Stuhlbarg', 'Antonio Rimoldi', 'Vanda Capriolo', 'Xhuliano Ujka', 'Andre Aciman', 'Elena Bucci', 'Amira Casar', 'Esther Garrel', 'Peter Spears']"
110,The Magnificent Ambersons,"['Drama', 'Romance']","['Tim Holt', 'Georgia Backus', 'Erskine Sanford', 'Olive Ball', 'Ray Collins', 'Orson Welles', 'Joseph Cotten', 'Harry A. Bailey', 'Dolores Costello', 'Richard Bennett', 'Edwin August', 'Anne Baxter', 'Jack Baxley', 'Agnes Moorehead', 'William Blees']"
111,Reversal of Fortune,"['Drama', 'Mystery']","['Ron Silver', 'Mano Singh', 'Annabella Sciorra', 'Jack Gilpin', 'Felicity Huffman', 'Alan Pottinger', 'Johann Carlo', 'Uta Hagen', 'Stephen Mailer', 'Fisher Stevens', 'Christine Baranski', 'Christine Dunford', 'Keith Reddin', 'Jeremy Irons', 'Glenn Close']"
112,David Byrne’s American Utopia,"['Music', 'Musical', 'Documentary']",['David Byrne']
113,Lady Bird,"['Drama', 'Comedy']","['Timothée Chalamet', 'Bayne Gibby', 'Beanie Feldstein', 'Saoirse Ronan', 'Daniel Zovatto', 'Christina Offley', 'Lucas Hedges', 'Danielle Macdonald', 'Andy Buckley', 'Jordan Rodrigues', 'Kathryn Newton', 'Lois Smith', 'Laura Marano', 'Jake McDorman', 'John Karna', 'Tracy Letts', 'Marielle Scott', 'Stephen Henderson', 'Laurie Metcalf', 'Odeya Rush', 'Kristen Cloke']"
114,Shoplifters,"['Drama', 'Crime']","['Kirin Kiki', 'Yôko Moriguchi', 'Izumi Matsuoka', 'Sakura Andô', 'Moemi Katayama', 'Jyo Kairi', 'Hajime Inoue', 'Akira Emoto', 'Katsuya Maiguma', 'Kengo Kôra', 'Sôsuke Ikematsu', 'Lily Franky', 'Mayu Matsuoka', 'Kazuaki Shimizu', 'Naoto Ogata', 'Yûki Yamada', 'Chizuru Ikewaki', 'Aju Makita', 'Miyu Sasaki', 'Daisuke Kuroda']"
115,Shoah: Four Sisters,"['History', 'Documentary']","['Paula Biren', 'Hanna Marton', 'Ada Lichtman', 'Claude Lanzmann', 'Ruth Elias']"
116,The 39 Steps,"['Mystery', 'Thriller', 'Film-Noir']","['Gus McNaughton', 'Jerry Verno', 'Peggy Ashcroft', 'Helen Haye', 'Ivor Barnard', 'John Laurie', 'Frank Cellier', 'Wylie Watson', 'Madeleine Carroll', 'Charles Bennett', 'Godfrey Tearle', 'Lucie Mannheim', 'Peggy Simpson', 'Robert Donat', 'Noel Birkin']"
117,Duck Soup,"['Comedy', 'War', 'Musical']","['Louis Calhern', 'Wade Boteler', 'Margaret Dumont', 'The Marx Brothers', 'Chico Marx', 'Sidney Bracey', 'Groucho Marx', 'Harpo Marx', 'Edgar Kennedy', 'Leonid Kinskey', 'Zeppo Marx', 'Raquel Torres', 'Edward Arnold', 'Edmund Breese', 'Charles Middleton']"
118,Days of Heaven,"['Drama', 'Romance']","['Stuart Margolin', 'Timothy Scott', 'Sahbra Markus', 'Frenchie Lemond', 'Jackie Shultis', 'Gene Bell', 'Brooke Adams', 'Sam Shepard', 'Doug Kershaw', 'Robert J. Wilke', 'Richard Gere', 'Richard Libertini', 'Muriel Jolliffe', 'Linda Manz', 'Bob Wilson']"
119,Toni Erdmann,"['Drama', 'Comedy']","['Michael Wittenborn', 'Nicolas Wackerbarth', 'Lucy Russell', 'Sandra Hüller', 'Ingrid Burkhard', 'Radu Banzaru', 'Jürg Löw', 'Alexandru Papadopol', 'Niels Bormann', 'Peter Simonischek', 'Anna Maria Bergold', 'Ioan Brancu', 'Victoria Malektorovych', 'Trystan Pütter', 'Ruth Reinecke', 'Ingrid Bisu', 'Thomas Loibl', 'Vlad Ivanov', 'Hadewych Minis', 'Victoria Cocias', 'Manuela Ciucur']"
120,Yi Yi,"['Drama', 'Romance', 'Music']","['Issei Ogata', 'Adriene Lin', 'Shu-Yuan Hsu', 'Su-Yun Ko', 'An-an Hsu', 'Yiwen Chen', 'Ru-Yun Tang', 'Yung-Feng Lee', 'Hsin-Yi Tseng', 'Shu-shen Hsiao', 'Elaine Jin', 'Pang Chang Yu', 'Chuan-cheng Tao', 'Kelly Lee', 'Hsi-Sheng Chen', 'Jonathan Chang', 'Nien-Jen Wu']"
121,McCabe & Mrs. Miller,"['Drama', 'Western']","['Michael Murphy', 'Julie Christie', 'Jace Van Der Veen', 'Antony Holland', 'John Schuck', 'Corey Fischer', 'Manfred Schulz', 'René Auberjonois', 'Shelley Duvall', 'Hugh Millais', 'Bert Remsen', 'Keith Carradine', 'Warren Beatty', 'Jackie Crossland', 'William Devane']"
122,The Best Years of Our Lives,"['Drama', 'Romance', 'War']","['Myrna Loy', ""Cathy O'Donnell"", 'Dana Andrews', 'Dorothy Adams', 'Ray Collins', 'Fredric March', 'Teresa Wright', 'Roman Bohnen', 'Gladys George', 'Virginia Mayo', 'Walter Baldwin', 'Minna Gombell', 'Steve Cochran', 'Hoagy Carmichael', 'Harold Russell']"
123,Stagecoach,"['Adventure', 'Drama', 'Western']","['Tim Holt', 'Andy Devine', 'Thomas Mitchell', 'John Carradine', 'Donald Meek', 'Louise Platt', 'John Wayne', 'Frank Baker', 'George Bancroft', 'Chief John Big Tree', 'Tom Tyler', 'Berton Churchill', 'Dorothy Appleby', 'Claire Trevor', 'Ted Billings']"
124,Inside Llewyn Davis,"['Drama', 'Music']","['Mike Houston', 'Joel Brody', 'Carey Mulligan', 'Jeanine Serralles', 'James Colby', 'Helen Hong', 'Bradley Mott', 'Antonio E. Moreno', 'Oscar Isaac', 'Genevieve Adams', 'Max Casella', 'Justin Timberlake', 'Adam Driver', 'Alex Karpovsky', 'Garrett Hedlund', 'John Goodman', 'Frank Ridley', 'Ricardo Cordero', 'Robin Bartlett', 'Jake Ryan', 'Stark Sands', 'Ethan Phillips', 'Jerry Grayson', 'F. Murray Abraham']"
125,Sherpa,['Documentary'],[]
126,There Will Be Blood,"['Drama', 'Thriller']","['Matthew Braden Stringer', 'Kevin Breznahan', 'Paul F. Tompkins', 'Randall Carver', 'Erica Sullivan', 'Dillon Freasier', 'Jacob Stringer', 'Joseph Mussey', 'Daniel Day-Lewis', 'Harrison Taylor', 'Coco Leigh', 'Barry Del Sherman', 'Jim Meskimen', 'Martin Stringer', 'Stockton Taylor']"
127,Badlands,"['Drama', 'Crime']","['Ben Bravo', 'Alan Vint', 'Gail Threlkeld', 'Ramon Bieri', 'John Womack Jr.', 'John Carter', 'Sissy Spacek', 'Bryan Montgomery', 'Martin Sheen', 'Howard Ragsdale', 'Gary Littlejohn', 'Warren Oates', 'Emilio Estevez', 'Dona Baldwin', 'Charles Fitzpatrick']"
128,The Last Picture Show,['Drama'],"['Cloris Leachman', 'Jessie Lee Fulton', 'Ellen Burstyn', 'Timothy Bottoms', 'Sharon Ullrick', 'Ben Johnson', 'Bill Thurman', 'Jeff Bridges', 'Joe Heathcock', 'Barc Doyle', 'Randy Quaid', 'Clu Gulager', 'Eileen Brennan', 'Cybill Shepherd', 'Sam Bottoms']"
129,Do the Right Thing,"['Drama', 'Comedy']","['Richard Edson', 'Ossie Davis', 'Bill Nunn', 'John Turturro', 'Rick Aiello', 'Miguel Sandoval', 'John Savage', 'Giancarlo Esposito', 'Paul Benjamin', 'Spike Lee', 'Ruby Dee', 'Joie Lee', 'Danny Aiello', 'Robin Harris', 'Frankie Faison']"
130,Sita Sings the Blues,"['Fantasy', 'Comedy', 'Romance', 'Animation', 'Musical']","['Debargo Sanyal', 'Bhavana Nagulapally', 'Nitya Vidyasagar', 'Aseem Chhabra', 'Pooja Kumar', 'Aladdin Ullah', 'Annette Hanshaw', 'Deepti Gupta', 'Nina Paley', 'Manish Acharya', 'Reena Shah', 'Sanjiv Jhaveri']"
